date,hour,day_of_week,pickup_community_area,demand,temperature,zone_name,is_holiday
2023-03-26,2,1,26,0,3.9,WEST GARFIELD PARK,1
2023-03-26,2,1,44,0,3.9,CHATHAM,1
2023-03-26,2,1,12,0,3.9,FOREST GLEN,1
2023-03-26,2,1,22,0,3.9,LOGAN SQUARE,1
2023-03-26,2,1,47,0,3.9,BURNSIDE,1
2023-03-26,2,1,1,0,3.9,ROGERS PARK,1
2023-03-26,2,1,52,0,3.9,EAST SIDE,1
2023-03-26,2,1,13,0,3.9,NORTH PARK,1
2023-03-26,2,1,6,0,3.9,LAKE VIEW,1
2023-03-26,2,1,16,0,3.9,IRVING PARK,1
2023-03-26,2,1,3,0,3.9,UPTOWN,1
2023-03-26,2,1,40,0,3.9,WASHINGTON PARK,1
2023-03-26,2,1,20,0,3.9,HERMOSA,1
2023-03-26,2,1,57,0,3.9,ARCHER HEIGHTS,1
2023-03-26,2,1,54,0,3.9,RIVERDALE,1
2023-03-26,2,1,48,0,3.9,CALUMET HEIGHTS,1
2023-03-26,2,1,5,0,3.9,NORTH CENTER,1
2023-03-26,2,1,19,0,3.9,BELMONT CRAGIN,1
2023-03-26,2,1,64,0,3.9,CLEARING,1
2023-03-26,2,1,41,0,3.9,HYDE PARK,1
2023-03-26,2,1,43,0,3.9,SOUTH SHORE,1
2023-03-26,2,1,15,0,3.9,PORTAGE PARK,1
2023-03-26,2,1,37,0,3.9,FULLER PARK,1
2023-03-26,2,1,61,0,3.9,NEW CITY,1
2023-03-26,2,1,17,0,3.9,DUNNING,1
2023-03-26,2,1,9,0,3.9,EDISON PARK,1
2023-03-26,2,1,72,0,3.9,BEVERLY,1
2023-03-26,2,1,35,0,3.9,DOUGLAS,1
2023-03-26,2,1,4,0,3.9,LINCOLN SQUARE,1
2023-03-26,2,1,55,0,3.9,HEGEWISCH,1
2023-03-26,2,1,59,0,3.9,MCKINLEY PARK,1
2023-03-26,2,1,8,0,3.9,NEAR NORTH SIDE,1
2023-03-26,2,1,23,0,3.9,HUMBOLDT PARK,1
2023-03-26,2,1,39,0,3.9,KENWOOD,1
2023-03-26,2,1,49,0,3.9,ROSELAND,1
2023-03-26,2,1,7,0,3.9,LINCOLN PARK,1
2023-03-26,2,1,51,0,3.9,SOUTH DEERING,1
2023-03-26,2,1,69,0,3.9,GREATER GRAND CROSSING,1
2023-03-26,2,1,63,0,3.9,GAGE PARK,1
2023-03-26,2,1,77,0,3.9,EDGEWATER,1
2023-03-26,2,1,10,0,3.9,NORWOOD PARK,1
2023-03-26,2,1,50,0,3.9,PULLMAN,1
2023-03-26,2,1,45,0,3.9,AVALON PARK,1
2023-03-26,2,1,38,0,3.9,GRAND BOULEVARD,1
2023-03-26,2,1,25,0,3.9,AUSTIN,1
2023-03-26,2,1,73,0,3.9,WASHINGTON HEIGHTS,1
2023-03-26,2,1,24,0,3.9,WEST TOWN,1
2023-03-26,2,1,70,0,3.9,ASHBURN,1
2023-03-26,2,1,62,0,3.9,WEST ELSDON,1
2023-03-26,2,1,29,0,3.9,NORTH LAWNDALE,1
2023-03-26,2,1,21,0,3.9,AVONDALE,1
2023-03-26,2,1,32,0,3.9,LOOP,1
2023-03-26,2,1,60,0,3.9,BRIDGEPORT,1
2023-03-26,2,1,75,0,3.9,MORGAN PARK,1
2023-03-26,2,1,56,0,3.9,GARFIELD RIDGE,1
2023-03-26,2,1,58,0,3.9,BRIGHTON PARK,1
2023-03-26,2,1,33,0,3.9,NEAR SOUTH SIDE,1
2023-03-26,2,1,11,0,3.9,JEFFERSON PARK,1
2023-03-26,2,1,68,0,3.9,ENGLEWOOD,1
2023-03-26,2,1,71,0,3.9,AUBURN GRESHAM,1
2023-03-26,2,1,14,0,3.9,ALBANY PARK,1
2023-03-26,2,1,42,0,3.9,WOODLAWN,1
2023-03-26,2,1,2,0,3.9,WEST RIDGE,1
2023-03-26,2,1,30,0,3.9,SOUTH LAWNDALE,1
2023-03-26,2,1,66,0,3.9,CHICAGO LAWN,1
2023-03-26,2,1,46,0,3.9,SOUTH CHICAGO,1
2023-03-26,2,1,67,0,3.9,WEST ENGLEWOOD,1
2023-03-26,2,1,18,0,3.9,MONTCLARE,1
2023-03-26,2,1,74,0,3.9,MOUNT GREENWOOD,1
2023-03-26,2,1,36,0,3.9,OAKLAND,1
2023-03-26,3,1,31,0,3.9,LOWER WEST SIDE,1
2023-03-26,3,1,65,0,3.9,WEST LAWN,1
2023-03-26,3,1,53,0,3.9,WEST PULLMAN,1
2023-03-26,3,1,34,0,3.9,ARMOUR SQUARE,1
2023-03-26,3,1,28,0,3.9,NEAR WEST SIDE,1
2023-03-26,3,1,76,0,3.9,OHARE,1
2023-03-26,3,1,27,0,3.9,EAST GARFIELD PARK,1
2023-03-26,3,1,26,0,3.9,WEST GARFIELD PARK,1
2023-03-26,3,1,44,0,3.9,CHATHAM,1
2023-03-26,3,1,12,0,3.9,FOREST GLEN,1
2023-03-26,3,1,22,0,3.9,LOGAN SQUARE,1
2023-03-26,3,1,47,0,3.9,BURNSIDE,1
2023-03-26,3,1,1,0,3.9,ROGERS PARK,1
2023-03-26,3,1,52,0,3.9,EAST SIDE,1
2023-03-26,3,1,13,0,3.9,NORTH PARK,1
2023-03-26,3,1,6,0,3.9,LAKE VIEW,1
2023-03-26,3,1,16,0,3.9,IRVING PARK,1
2023-03-26,3,1,3,0,3.9,UPTOWN,1
2023-03-26,3,1,40,0,3.9,WASHINGTON PARK,1
2023-03-26,3,1,20,0,3.9,HERMOSA,1
2023-03-26,3,1,57,0,3.9,ARCHER HEIGHTS,1
2023-03-26,3,1,54,0,3.9,RIVERDALE,1
2023-03-26,3,1,48,0,3.9,CALUMET HEIGHTS,1
2023-03-26,3,1,5,0,3.9,NORTH CENTER,1
2023-03-26,3,1,19,0,3.9,BELMONT CRAGIN,1
2023-03-26,3,1,64,0,3.9,CLEARING,1
2023-03-26,3,1,41,0,3.9,HYDE PARK,1
2023-03-26,3,1,43,0,3.9,SOUTH SHORE,1
2023-03-26,3,1,15,0,3.9,PORTAGE PARK,1
2023-03-26,3,1,37,0,3.9,FULLER PARK,1
2023-03-26,3,1,61,0,3.9,NEW CITY,1
2023-03-26,3,1,17,0,3.9,DUNNING,1
2023-03-26,3,1,9,0,3.9,EDISON PARK,1
2023-03-26,3,1,72,0,3.9,BEVERLY,1
2023-03-26,3,1,35,0,3.9,DOUGLAS,1
2023-03-26,3,1,4,0,3.9,LINCOLN SQUARE,1
2023-03-26,3,1,55,0,3.9,HEGEWISCH,1
